SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,9880,9914.99,9860,9875,9875,9880,146,1441015.96,29-Jul-2025,13,IN0020200104
SGBN28VIII,GB,10174.45,10174.45,9950,9986.75,9990,9974.95,93,928155.25,29-Jul-2025,46,IN0020200286
SGBMAY29I,GB,9906,9919.99,9350,9898.21,9918.5,9911.79,1858,18228165.50,29-Jul-2025,202,IN0020210053
SGBJUN29II,GB,9910,9915,9890,9893.5,9890.01,9901.5,413,4086433.36,29-Jul-2025,37,IN0020210061
SGBJU29III,GB,9899.5,9909,9885.5,9885.5,9885.5,9898.26,82,811819.50,29-Jul-2025,20,IN0020210087
SGBSEP29VI,GB,9930,9945,9900.05,9930,9930,9923.8,154,1528651.62,29-Jul-2025,33,IN0020210145
SGBNV29VII,GB,9903.49,10111.55,9903.49,9978.32,10111.55,9903.49,239,2375860.17,29-Jul-2025,46,IN0020210178
SGBOCT25,GB,10100,10100,10100,10100,10100,10100,2,20200.00,29-Jul-2025,2,IN0020170059
SGBOCT25IV,GB,9822,9900,9821,9900,9900,9950,103,1014171.00,29-Jul-2025,37,IN0020170067
SGBNOV25VI,GB,9904.02,9904.02,9904.02,9904.02,9904.02,9953,5,49520.10,29-Jul-2025,1,IN0020170083
SGBDEC25,GB,9905,9905,9899,9899,9899,9898.99,3,29709.00,29-Jul-2025,2,IN0020170125
SGBNOV258,GB,9854.26,9854.26,9854.26,9854.26,9854.26,9725.32,1,9854.26,29-Jul-2025,1,IN0020170109
SGBDEC2513,GB,9970,9970,9970,9970,9970,9970,1,9970.00,29-Jul-2025,1,IN0020170158
SGBMAY26,GB,9871.26,9960,9871.26,9955.29,9960,9932.26,535,5317172.51,29-Jul-2025,50,IN0020180033
SGBOCT26,GB,9974.99,9974.99,9974.99,9974.99,9974.99,9974.99,1,9974.99,29-Jul-2025,1,IN0020180249
SGBNOV26,GB,9940,9940,9851,9895.02,9895.02,9930,5,49477.02,29-Jul-2025,4,IN0020180314
SGBDEC26,GB,9821.01,9915,9821.01,9915,9915,9950,12,118886.00,29-Jul-2025,4,IN0020180389
SGBJAN26,GB,9960,9961,9960,9961,9961,9959.99,8,79686.00,29-Jul-2025,6,IN0020170166
SGBJUN27,GB,9900,9998.99,9701,9953.23,9998.99,9900,77,765785.99,29-Jul-2025,13,IN0020190073
SGBJUL27,GB,9817.01,9890.4,9817,9890.4,9890.4,9851,16,157439.05,29-Jul-2025,4,IN0020190081
SGBAUG27,GB,9930,9967.7,9907,9939.5,9939.5,9907,185,1836579.20,29-Jul-2025,18,IN0020190107
SGBSEP27,GB,9900,9900,9900,9900,9900,9900,1,9900.00,29-Jul-2025,1,IN0020190115
SGBJAN27,GB,9871,9949.9,9851.01,9851.01,9851.01,9899,47,464204.59,29-Jul-2025,19,IN0020180462
SGBOCT27,GB,9900,9900,9900,9900,9900,9899,1,9900.00,29-Jul-2025,1,IN0020190370
SGBFEB27,GB,9998.9,9998.9,9998.9,9998.9,9998.9,9969.9,4,39995.60,29-Jul-2025,2,IN0020180561
SGBOCT27VI,GB,9733.01,9900,9733.01,9826.01,9826.01,9900.44,212,2079373.72,29-Jul-2025,25,IN0020190388
SGBDC27VII,GB,9940,9940,9865,9865,9865,9949.99,53,526645.60,29-Jul-2025,5,IN0020190461
SGBAPR28I,GB,9993,9993,9900,9926.96,9930,9970.64,230,2281827.97,29-Jul-2025,27,IN0020200062
SGBMAY28,GB,9919.99,9919.99,9870,9909.66,9909.66,9880.47,166,1643149.78,29-Jul-2025,58,IN0020200088
SGBJUL28IV,GB,9918,9918,9850,9884,9888.5,9889.94,2447,24187094.79,29-Jul-2025,152,IN0020200146
SGBAUG28V,GB,9934.85,9967.99,9929.5,9941.15,9945,9934.85,889,8840076.88,29-Jul-2025,81,IN0020200161
SGBSEP28VI,GB,9926.6,9940,9902,9925.6,9930,9926.6,64,635250.12,29-Jul-2025,15,IN0020200195
SGBOC28VII,GB,9851,9975,9851,9911,9900.01,9915,143,1415804.19,29-Jul-2025,18,IN0020200203
SGBJ28VIII,GB,9900,9900,9801,9899.76,9899.76,9900,48,474504.75,29-Jul-2025,9,IN0020190537
SGBMAR28X,GB,9805.16,9940,9805.15,9940,9940,9912.01,30,296331.77,29-Jul-2025,7,IN0020190552
SGBJUL29IV,GB,9929.99,9930,9890,9906.16,9900,9886.64,236,2339272.67,29-Jul-2025,42,IN0020210111
SGBJAN29IX,GB,9856,9930,9856,9882,9880.05,9924.53,90,890965.29,29-Jul-2025,39,IN0020200377
SGBAUG29V,GB,10000,10000,9921,9950,9950,9961.66,45,448117.51,29-Jul-2025,17,IN0020210129
SGBD29VIII,GB,9932,9970,9901,9939,9939,9931.08,311,3090016.55,29-Jul-2025,31,IN0020210228
SGBJAN29X,GB,9873,9919,9873,9912.13,9918,9900,157,1556267.09,29-Jul-2025,40,IN0020200385
SGBFEB29XI,GB,9940.5,9945,9930,9940,9940,9940,62,615828.00,29-Jul-2025,11,IN0020200393
